Timestamp,TP9,AF7,AF8,TP10,Label
1746192077.1771874,169.54630241571704,-976.5625,-569.3359375,965.8203125,Relaxing
1746192077.1810937,-94.30991672753271,-989.74609375,-531.25,965.8203125,Relaxing
1746192077.183125,-155.24292793355107,-1000.0,-522.94921875,965.33203125,Relaxing
1746192077.1870313,-31.330990721572107,-998.53515625,-564.94140625,965.8203125,Relaxing
1746192077.1909375,126.81674938940614,-1000.0,-569.82421875,965.33203125,Relaxing
1746192077.1948438,156.13520903099243,-1000.0,-546.38671875,965.33203125,Relaxing
1746192077.19875,10.95412063271533,-1000.0,-537.59765625,965.33203125,Relaxing
1746192077.2026563,-214.99918295689167,-1000.0,-543.45703125,965.8203125,Relaxing
1746192077.2065625,-392.9514221246541,-1000.0,-549.8046875,965.33203125,Relaxing
1746192077.2104688,-469.5207258529199,-1000.0,-509.27734375,965.33203125,Relaxing
1746192077.214375,169.54630241571704,-1000.0,-499.0234375,965.33203125,Relaxing
1746192077.2182813,-94.30991672753271,-1000.0,-574.70703125,965.33203125,Relaxing
1746192077.2221875,-155.24292793355107,-1000.0,-561.03515625,965.33203125,Relaxing
1746192077.2260938,-31.330990721572107,-1000.0,-541.50390625,965.33203125,Relaxing
1746192077.229125,126.81674938940614,-1000.0,-574.21875,965.33203125,Relaxing
1746192077.2330313,156.13520903099243,-1000.0,-572.265625,965.33203125,Relaxing
1746192077.2369375,10.95412063271533,-1000.0,-556.15234375,965.8203125,Relaxing
1746192077.2408438,-214.99918295689167,-1000.0,-572.265625,965.8203125,Relaxing
1746192077.24475,-392.9514221246541,-1000.0,-583.984375,965.8203125,Relaxing
1746192077.2486563,-469.5207258529199,-1000.0,-556.15234375,965.8203125,Relaxing
1746192077.2525625,169.54630241571704,-1000.0,-559.08203125,965.8203125,Relaxing
1746192077.2564688,-94.30991672753271,-1000.0,-528.80859375,965.33203125,Relaxing
1746192077.260375,-155.24292793355107,-1000.0,-517.578125,965.33203125,Relaxing
1746192077.2642813,-31.330990721572107,-1000.0,-594.7265625,965.8203125,Relaxing
1746192077.2681875,126.81674938940614,-1000.0,-583.984375,965.33203125,Relaxing
1746192077.2720938,156.13520903099243,-1000.0,-566.40625,965.33203125,Relaxing
1746192077.273125,10.95412063271533,-1000.0,-592.28515625,965.8203125,Relaxing
1746192077.2770312,-214.99918295689167,-1000.0,-598.14453125,965.33203125,Relaxing
1746192077.2809374,-392.9514221246541,-1000.0,-571.77734375,965.33203125,Relaxing
1746192077.2848437,-469.5207258529199,-1000.0,-570.80078125,965.33203125,Relaxing
1746192077.28875,169.54630241571704,-1000.0,-604.98046875,965.33203125,Relaxing
1746192077.2926562,-94.30991672753271,-1000.0,-596.19140625,965.33203125,Relaxing
1746192077.2965624,-155.24292793355107,-1000.0,-569.3359375,965.33203125,Relaxing
1746192077.3004687,-31.330990721572107,-1000.0,-557.6171875,965.8203125,Relaxing
1746192077.304375,126.81674938940614,-1000.0,-625.9765625,965.8203125,Relaxing
1746192077.3082812,156.13520903099243,-1000.0,-620.1171875,965.8203125,Relaxing
1746192077.3121874,10.95412063271533,-1000.0,-605.95703125,965.8203125,Relaxing
1746192077.3160937,-214.99918295689167,-1000.0,-634.27734375,965.8203125,Relaxing
1746192077.317125,-392.9514221246541,-1000.0,-634.27734375,965.8203125,Relaxing
1746192077.3210313,-469.5207258529199,-1000.0,-619.140625,965.33203125,Relaxing
